티커,시가,고가,저가,종가,거래량,거래대금,등락률
446440,11800,12000,11000,12000,26,300000,4.53
140610,9000,9200,8700,8980,3462,30564150,0.34
238170,455,489,410,489,2667,1202649,7.47
224760,6400,6400,4760,4760,5,25640,-14.85
093510,0,0,0,1800,0,0,-11.98
276240,550,629,550,629,101,55629,14.36
311060,9480,9480,7910,9100,112,900870,-2.15
122830,1300,1300,1224,1255,8022,9943423,-0.16
140660,0,0,0,1698,0,0,-0.06
121060,910,910,800,800,2,1710,0.0
337840,18280,18280,18000,18280,233,4223400,-0.05
279060,3170,3480,3010,3015,9333,28323230,-4.89
419700,4285,4285,3700,3725,69424,266584440,-12.56
208850,6290,6290,6290,6290,1,6290,-0.16
379390,0,0,0,8990,0,0,-0.88
341310,900,900,770,898,34,26566,-0.11
232530,4500,4650,4400,4500,10688,48994355,2.27
216400,9390,9390,9070,9190,480,4386230,-0.11
066830,1995,1995,1800,1985,105,200410,1.85
254160,2800,2800,2800,2800,1,2800,0.18
248020,0,0,0,2695,0,0,0.0
289860,4435,4435,4400,4400,2018,8897330,-0.9
299480,367,367,367,367,157,57619,-14.85
388610,4000,4190,4000,4190,2001,8004190,-0.12
250030,4100,4100,3500,3500,103,375595,-14.63
233990,443,494,443,494,498,221022,-2.18
446600,0,0,0,22000,0,0,0.0
402420,14500,15400,14000,15400,7,104200,0.13
176590,8200,8500,7890,8500,30654,249291250,4.94
189350,1699,1766,1699,1750,5,8690,1.16
169670,9730,9730,9400,9400,1805,17090060,-3.49
456190,0,0,0,19600,0,0,0.0
086460,5690,5690,4255,5640,5,25480,12.8
136660,1200,1200,1000,1100,12,12300,0.0
215570,1042,1197,1040,1194,1674,1843270,-0.5
336040,11000,11000,10000,10590,280,2824910,-1.03
346010,9400,9400,9400,9400,1,9400,14.77
318660,1800,1800,1800,1800,1,1800,0.06
434190,6100,6100,5950,6080,17,102010,-0.16
180060,9190,9190,9190,9190,1,9190,2.11
052960,3800,4000,3800,4000,5,19200,-2.32
116100,1525,1785,1525,1785,40,62300,-0.45
308700,563,563,563,563,1,563,-0.88
258050,0,0,0,725,0,0,-0.14
413300,3800,3800,3300,3300,2,7100,-5.04
217880,3500,3500,3240,3495,509,1747215,1.75
217950,21050,21050,20550,20900,308,6353900,-0.71
266870,840,880,840,880,40,34196,2.44
202960,759,759,712,740,1672,1238401,-2.37
327610,7390,7390,6820,6990,1757,12071010,-4.12
341170,7730,7940,7730,7900,7227,56198770,2.2
296160,2915,3100,2900,2900,4611,13380245,-14.96
222670,5600,5970,5600,5940,117,676860,0.0
150440,0,0,0,994,0,0,0.0
331660,0,0,0,15500,0,0,0.0
448900,0,0,0,12610,0,0,0.0
107640,17520,18000,16990,17990,11053,188232890,-0.06
212310,3225,3225,3225,3225,140,451500,0.0
